expense_date,expense_type,rows,spend
2026-07-22,advertising_clicks,488,123277.88
2026-07-22,advertising_other,17,1273.22
2026-07-23,advertising_clicks,502,126581.7
2026-07-23,advertising_other,6,126.96
2026-07-24,advertising_clicks,485,126788.56
2026-07-24,advertising_other,10,152.29
2026-07-25,advertising_clicks,500,133153.07
2026-07-25,advertising_other,6,133.07
2026-07-26,advertising_clicks,518,141035.16
2026-07-26,advertising_other,6,140.52
2026-07-27,advertising_clicks,514,134080.48
2026-07-27,advertising_other,13,221.43
2026-07-28,advertising_clicks,503,121522.12
2026-07-28,advertising_other,8,172.39
2026-07-30,advertising_clicks,503,127258.37
2026-07-30,advertising_other,11,173.84
2026-07-31,advertising_clicks,502,127563.76
2026-07-31,advertising_other,11,1163.96
2026-08-01,advertising_clicks,504,126893.9
2026-08-01,advertising_other,4,86.78
2026-08-02,advertising_clicks,480,151680.44
2026-08-02,advertising_other,17,3325.57
2026-08-03,advertising_clicks,426,127922.77
2026-08-03,advertising_other,2,27.35
2026-08-04,advertising_clicks,424,136781.33
2026-08-04,advertising_other,1,9.34
2026-08-05,advertising_clicks,423,125114.14
2026-08-05,advertising_other,2,38.19
2026-08-06,advertising_clicks,336,99888.88
2026-08-06,advertising_other,21,683.49
2026-08-07,advertising_clicks,338,110520.96
2026-08-07,advertising_other,3,12.61
2026-08-08,advertising_clicks,316,92169.61
2026-08-08,advertising_other,2,219.73
2026-08-09,advertising_clicks,325,96008.65
2026-08-09,advertising_other,2,19.21
2026-08-10,advertising_clicks,348,106210.59
2026-08-10,advertising_other,2,5.78
2026-08-11,advertising_clicks,531,120056.53
2026-08-11,advertising_other,265,13064.98
2026-08-12,advertising_clicks,613,68284.04
2026-08-12,advertising_other,1,25.16
2026-08-16,advertising_clicks,405,182281.0
2026-08-16,advertising_other,12,5253.92
2026-08-19,advertising_clicks,404,171827.26
2026-08-19,advertising_other,96,27718.41
