id,expense_date,marketplace_sku,expense_type,expense_amount
648195,2026-05-23,1160101308,advertising_other,215.72
648229,2026-05-23,1269613903,advertising_other,315.92
648241,2026-05-23,1349794419,advertising_other,287.3
648284,2026-05-23,1502337507,advertising_other,513.07
648286,2026-05-23,1557196725,advertising_other,329.93
648174,2026-05-23,2834665919,advertising_other,214.07
648269,2026-05-23,3118764516,advertising_other,443.29
648225,2026-05-23,3119095266,advertising_other,239.63
648277,2026-05-23,997987755,advertising_other,351.93
665746,2026-05-24,1045776863,advertising_other,342.11
665778,2026-05-24,1175227677,advertising_other,285.77
665745,2026-05-24,1200571725,advertising_other,77.11
665716,2026-05-24,1466847163,advertising_other,22.11
666095,2026-05-24,1626402013,advertising_other,11.09
666050,2026-05-24,2948405112,advertising_other,3.4
666045,2026-05-24,3118764455,advertising_other,5.78
665701,2026-05-24,3119094016,advertising_other,493.0
665782,2026-05-24,3119094550,advertising_other,232.93
665996,2026-05-24,3119094933,advertising_other,11.87
666094,2026-05-24,3790062696,advertising_other,4.0
666072,2026-05-24,951328173,advertising_other,2.24
684161,2026-05-25,1202109171,advertising_other,13.52
684186,2026-05-25,1218450101,advertising_other,351.46
684162,2026-05-25,1218452118,advertising_other,329.65
684091,2026-05-25,1219855968,advertising_other,7.84
683678,2026-05-25,1313569252,advertising_other,1613.88
683790,2026-05-25,1451550093,advertising_other,20.09
683797,2026-05-25,1502336198,advertising_other,286.56
683847,2026-05-25,1557196725,advertising_other,146.85
683862,2026-05-25,1620587243,advertising_other,20.12
683848,2026-05-25,2838742899,advertising_other,123.66
684212,2026-05-25,3537197544,advertising_other,18.2
684215,2026-05-25,3537197592,advertising_other,11.72
684214,2026-05-25,3537197594,advertising_other,5.34
684216,2026-05-25,3537197743,advertising_other,25.01
684220,2026-05-25,3537197838,advertising_other,10.27
684221,2026-05-25,3537197943,advertising_other,6.45
684210,2026-05-25,3537198017,advertising_other,3.91
684211,2026-05-25,3537198068,advertising_other,6.7
684217,2026-05-25,3537198235,advertising_other,6.05
684152,2026-05-25,3825052225,advertising_other,7.9
684218,2026-05-25,3825053494,advertising_other,5.73
684219,2026-05-25,3825054687,advertising_other,6.25
684077,2026-05-25,994008672,advertising_other,326.94
719887,2026-05-27,1012622024,advertising_other,233.19
719656,2026-05-27,1045776858,advertising_other,339.28
719613,2026-05-27,1175227765,advertising_other,391.3
719602,2026-05-27,1175230178,advertising_other,450.62
719589,2026-05-27,1269613903,advertising_other,12.39
719932,2026-05-27,1626402013,advertising_other,23.67
719918,2026-05-27,1626402052,advertising_other,267.59
719554,2026-05-27,3119094507,advertising_other,291.56
719633,2026-05-27,3119094550,advertising_other,194.25
719498,2026-05-27,3119095044,advertising_other,23.02
775266,2026-05-27,3543927627,advertising_other,40.49
719865,2026-05-27,3543927674,advertising_other,188.26
719898,2026-05-27,3825054077,advertising_other,37.42
719892,2026-05-27,3825055443,advertising_other,88.19
719966,2026-05-27,989350393,advertising_other,202.18
755769,2026-05-30,1011798220,advertising_other,24.25
756152,2026-05-30,1012622034,advertising_other,225.58
755831,2026-05-30,1045776694,advertising_other,261.74
755862,2026-05-30,1220307076,advertising_other,199.09
755780,2026-05-30,1300246213,advertising_other,151.57
756127,2026-05-30,1336838746,advertising_other,288.6
756074,2026-05-30,1383119550,advertising_other,258.35
755953,2026-05-30,1538676054,advertising_other,270.68
755730,2026-05-30,1557195548,advertising_other,216.64
755839,2026-05-30,1557196725,advertising_other,305.08
756169,2026-05-30,1680229744,advertising_other,138.41
755957,2026-05-30,1680230386,advertising_other,124.76
755835,2026-05-30,1950352487,advertising_other,257.15
755779,2026-05-30,2834666379,advertising_other,28.38
756153,2026-05-30,2953604987,advertising_other,332.84
756049,2026-05-30,3119094211,advertising_other,390.06
755945,2026-05-30,3119094719,advertising_other,169.54
756031,2026-05-30,3543927585,advertising_other,168.19
774966,2026-05-31,1157888611,advertising_other,35.71
774989,2026-05-31,1219891869,advertising_other,7.86
774981,2026-05-31,1680926504,advertising_other,5.45
774504,2026-05-31,3119094507,advertising_other,11.95
774898,2026-05-31,3542401401,advertising_other,10.26
793778,2026-06-01,1626401935,advertising_other,26.24
793757,2026-06-01,3118764442,advertising_other,40.74
793690,2026-06-01,3118764455,advertising_other,15.34
793814,2026-06-01,3537198017,advertising_other,4.11
793837,2026-06-01,3542170012,advertising_other,17.85
793578,2026-06-01,3545414688,advertising_other,436.33
